"Scenario","q","Year","Season","FULL","WEE","Residual"
"S1",0.2,1976,"FALL",19.4318935277976,18.7361236497732,-0.0364623060490503
"S1",0.2,1976,"SPRING",7.76343082001841,7.99964466239561,0.029972771020407
"S1",0.2,1977,"FALL",11.857259714708,10.4766082577394,-0.123795327168383
"S1",0.2,1977,"SPRING",1.03806558522911,1.04709344403893,0.00865921025067871
"S1",0.2,1978,"FALL",7.72142425371371,6.68094429366279,-0.144739496958985
"S1",0.2,1978,"SPRING",2.24367216444657,2.2625238824202,0.00836706958957201
"S1",0.2,1979,"FALL",8.41238397758473,8.4995363112728,0.0103067071865497
"S1",0.2,1979,"SPRING",3.31284769461692,3.36102056022478,0.0144365158015356
"S1",0.2,1980,"FALL",15.0697619110767,15.2654738797024,0.0129034556024532
"S1",0.2,1980,"SPRING",3.38446492562595,3.44299308523959,0.0171453543247782
"S1",0.2,1981,"FALL",12.9465142556673,13.0208067249097,0.0057220128330786
"S1",0.2,1981,"SPRING",2.03612561222396,2.11055742649629,0.0359033033948247
"S1",0.2,1982,"FALL",12.7410077108826,14.0562824914355,0.0982437030508754
"S1",0.2,1982,"SPRING",2.96887229358735,3.09181904286327,0.040577423130393
"S1",0.2,1983,"FALL",24.4238605630097,24.6117114240836,0.007661857399758
"S1",0.2,1983,"SPRING",2.26956191746656,2.37393897834576,0.044963766737661
"S1",0.2,1984,"FALL",21.6617917736897,21.086049924357,-0.0269382800456857
"S1",0.2,1984,"SPRING",4.6722965439609,5.45316749708733,0.154545915868538
"S1",0.2,1985,"FALL",20.3266652681113,20.6797931709908,0.0172234640994215
"S1",0.2,1985,"SPRING",2.93858479742457,2.92880987000398,-0.00333195123832608
"S1",0.2,1986,"FALL",15.1377605237719,14.8311711777648,-0.0204611926369314
"S1",0.2,1986,"SPRING",2.64324361269364,2.84979177655349,0.0752391265849003
"S1",0.2,1987,"FALL",2.77817812069076,2.62628845044978,-0.0562237467073972
"S1",0.2,1987,"SPRING",2.12985868407952,2.24726771189686,0.0536594960097223
"S1",0.2,1988,"FALL",9.33292606948796,8.53086107964227,-0.0898582815311966
"S1",0.2,1988,"SPRING",4.12789265618538,4.25638071852742,0.0306521785696465
